fdcIDs,fruit,fruit_type
167782,Abiyuch,Multiple
171686,Acerola,Drupe
167793,Apple (Fuji),Pome
168204,Apple (Gala),Pome
168201,Apple (Red Delicious),Pome
171697,Apricot,Drupe
171706,Avocado (California),Berry
171707,Avocado (Florida),Berry
173944,Banana,Berry
173946,Blackberry,Aggregate
171711,Blueberry,Berry
171713,Boysenberry,Aggregate
171714,Breadfruit,Multiple
173953,Cherimoya,Aggregate
171719,Cherry,Drupe
168195,Clementines,Citrus
169802,Cloudberry,Aggregate
171721,Crabapple,Pome
171722,Cranberry,Berry
173963,Currant (European Black),Berry
173964,Currant (Red and White),Berry
168192,Durian,Drupe
171727,Elderberry,Berry
168176,Feijoa,Berry
173021,Fig,Multiple
173030,Gooseberry,Berry
174683,Grapes,Berry
174676,Grapefruit (White),Citrus
174673,Grapefruit (Red),Citrus
173043,Groundcherry,Berry
173044,Guava (Common),Berry
173045,Guava (Strawberry),Berry
174687,Jackfruit,Multiple
168150,Java plum,Drupe
168151,Jujube,Drupe
167791,Horned Melon,Melon
168153,Kiwifruit (Green),Berry
168211,Kiwifruit (ZESPRI),Berry
168154,Kumquat,Citrus
167746,Lemon,Citrus
168155,Lime,Citrus
169088,Loganberry,Aggregate
169089,Longan,Drupe
169908,Loquat,Pome
169086,Lychee,Drupe
169910,Mango,Drupe
169092,Melon (Cantoloupe),Melon
169093,Melon (Casaba),Melon
169911,Melon (Honeydew),Melon
167765,Melon (Watermelon),Melon
169913,Mulberry,Multiple
167789,Nance,Drupe
169914,Nectarine,Drupe
169915,Oheloberry,Berry
169916,Orange (California),Citrus
169918,Orange (Florida),Citrus
169917,Orange (Navels),Citrus
169105,Tangerine,Citrus
169926,Papaya,Berry
169109,Passionfruit (Purple),Melon
169110,Passionfruit (Yellow),Melon
169928,Peach,Drupe
169118,Pear,Pome
167777,Pear (Red Anjou),Pome
167776,Pear (Bartlett),Pome
167778,Pear (Bosc),Pome
167779,Pear (Green Anjou),Pome
168177,Pear (Asian),Pome
167750,Pear (Prickly),Drupe
169941,Persimmon (Japanese),Berry
169943,Persimmon (Native),Berry
168215,Plantain (Green),Berry
169130,Plantain (Yellow),Berry
169949,Plum,Drupe
168193,Pineapple,Multiple
169134,Pomegranates,Berry
167754,Pummelo,Citrus
168163,Quince,Pome
167755,Raspberry,Aggregate
168171,Rose Apple,Berry
168170,Roselle,Multiple
167783,Rowal,Drupe
167759,Sapodilla,Berry
167760,Sapote,Berry
167761,Soursop,Aggregate
167762,Strawberry,Aggregate
168175,Sugar Apple,Aggregate
169129,Pitanga,Berry
